Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20220701;1;18200;18099,675
20220701;2;17300;17380,988
20220701;3;16700;16981,163
20220701;4;16650;16783,225
20220701;5;16350;16507,000
20220701;6;17600;16890,525
20220701;7;20600;19271,863
20220701;8;22300;21465,338
20220701;9;23100;22743,400
20220701;10;23300;23094,850
20220701;11;23550;23166,275
20220701;12;23600;23472,550
20220701;13;23750;23513,788
20220701;14;23750;23273,900
20220701;15;23400;22968,575
20220701;16;23400;22947,975
20220701;17;23300;23055,900
20220701;18;23150;22384,238
20220701;19;22950;22019,763
20220701;20;22900;22159,325
20220701;21;22700;21763,863
20220701;22;22500;21147,263
20220701;23;21500;20093,775
20220701;24;20000;18583,613
20220702;1;17700;17336,850
20220702;2;16750;16674,138
20220702;3;16200;16306,925
20220702;4;15850;16130,475
20220702;5;15250;15703,888
20220702;6;15250;15479,475
20220702;7;16950;16293,988
20220702;8;18250;17196,613
20220702;9;19300;18166,988
20220702;10;19700;18973,513
20220702;11;20000;19278,613
20220702;12;20000;19422,888
20220702;13;20000;19251,988
20220702;14;19900;19016,613
20220702;15;19550;18621,963
20220702;16;19300;18391,350
20220702;17;19000;18132,875
20220702;18;18850;17976,463
20220702;19;18700;18011,963
20220702;20;18700;17963,350
20220702;21;18700;17836,263
20220702;22;18600;17769,563
20220702;23;18250;17390,038
20220702;24;17000;16228,225
20220703;1;15500;15240,888
20220703;2;14800;14488,650
20220703;3;14300;14079,563
20220703;4;14000;13753,150
20220703;5;13500;13322,875
20220703;6;13250;13035,925
20220703;7;14150;13477,238
20220703;8;15100;14377,438
20220703;9;15950;15323,563
20220703;10;16500;16074,850
20220703;11;17050;16232,738
20220703;12;17100;16381,200
20220703;13;17100;16212,738
20220703;14;17200;16164,088
20220703;15;17250;16264,388
20220703;16;17300;16149,250
20220703;17;17350;16176,063
20220703;18;17600;16569,688
20220703;19;17800;16941,275
20220703;20;17900;17112,113
20220703;21;17900;17405,763
20220703;22;18100;17676,288
20220703;23;18100;17533,563
20220703;24;17000;16238,363
20220704;1;15850;15091,250
20220704;2;15150;14643,838
20220704;3;14850;14412,200
20220704;4;14700;14303,650
20220704;5;14600;14220,338
20220704;6;16050;14914,463
20220704;7;19450;17766,450
20220704;8;21400;20170,263
20220704;9;22400;21511,663
20220704;10;22600;21921,538
20220704;11;22900;21957,538
20220704;12;23000;22265,713
20220704;13;23200;22416,813
20220704;14;23200;22598,888
20220704;15;23000;22133,050
20220704;16;22850;22094,900
20220704;17;22650;21942,325
20220704;18;22450;21763,288
20220704;19;22300;21407,188
20220704;20;22250;21666,550
20220704;21;22150;21644,850
20220704;22;21850;21235,363
20220704;23;20950;20244,763
20220704;24;19400;18775,825
20220705;1;17850;17559,963
20220705;2;17050;16784,025
20220705;3;16450;16359,925
20220705;4;16400;16306,613
20220705;5;16100;16119,363
20220705;6;17050;16486,988
20220705;7;20000;18784,038
20220705;8;21700;20578,238
20220705;9;22500;21633,838
20220705;10;22600;22165,625
20220705;11;22950;22219,650
20220705;12;23100;22647,050
20220705;13;23150;22778,238
20220705;14;23250;22461,875
20220705;15;22900;22305,375
20220705;16;22750;22306,925
20220705;17;22650;21931,775
20220705;18;22550;21597,725
20220705;19;22250;21291,588
20220705;20;22200;21443,413
20220705;21;22000;21446,925
20220705;22;21750;20909,425
20220705;23;20850;19859,400
20220705;24;19300;18612,888
20220706;1;17700;17442,013
20220706;2;16900;16644,588
20220706;3;16300;16292,575
20220706;4;16300;16214,125
20220706;5;16000;16020,675
20220706;6;16800;16366,125
20220706;7;19800;18446,888
20220706;8;21450;20180,913
20220706;9;22300;21079,138
20220706;10;22400;21185,838
20220706;11;22650;21192,675
20220706;12;22850;21578,375
20220706;13;23050;21726,588
20220706;14;23150;21775,300
20220706;15;22700;21293,788
20220706;16;22550;21492,050
20220706;17;22450;21432,138
20220706;18;22250;21171,088
20220706;19;21950;20627,138
20220706;20;21900;20745,038
20220706;21;21700;20883,763
20220706;22;21400;20644,625
20220706;23;20450;19627,738
20220706;24;19000;18211,100
20220707;1;17650;16930,088
20220707;2;16850;16268,325
20220707;3;16300;15852,775
20220707;4;16250;15805,138
20220707;5;16000;15550,075
20220707;6;16950;15904,425
20220707;7;19750;17996,600
20220707;8;21250;19836,850
20220707;9;22200;20651,900
