Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20190701;1;15000;15351,250
20190701;2;14500;14731,738
20190701;3;14400;14573,575
20190701;4;14300;14503,738
20190701;5;14200;14413,338
20190701;6;15600;14991,263
20190701;7;19000;17816,288
20190701;8;20700;20135,813
20190701;9;21600;21542,963
20190701;10;21900;22256,550
20190701;11;22400;22471,425
20190701;12;22400;22930,475
20190701;13;22700;23079,163
20190701;14;22700;23000,263
20190701;15;22300;22527,138
20190701;16;22200;22353,325
20190701;17;22100;22068,838
20190701;18;21800;21596,275
20190701;19;21600;21374,038
20190701;20;21600;21261,075
20190701;21;21500;21222,113
20190701;22;21400;20799,213
20190701;23;20200;19666,713
20190701;24;18400;18069,800
20190702;1;16200;17065,288
20190702;2;15600;16571,188
20190702;3;15200;16154,025
20190702;4;15100;16182,600
20190702;5;14700;15732,288
20190702;6;15700;15923,975
20190702;7;19000;18111,250
20190702;8;20400;20087,925
20190702;9;21200;21223,788
20190702;10;21400;21500,025
20190702;11;21800;21651,575
20190702;12;21900;21980,650
20190702;13;22000;22064,500
20190702;14;22100;21997,538
20190702;15;21600;21536,213
20190702;16;21400;21389,638
20190702;17;21200;21023,913
20190702;18;20800;20714,063
20190702;19;20700;20435,225
20190702;20;20800;20464,463
20190702;21;20500;20376,800
20190702;22;20600;20159,700
20190702;23;19700;19279,450
20190702;24;18100;17993,500
20190703;1;16900;16706,613
20190703;2;16300;15981,625
20190703;3;15900;15665,588
20190703;4;15800;15583,913
20190703;5;15300;15194,563
20190703;6;16200;15577,150
20190703;7;19000;17814,000
20190703;8;20500;19609,238
20190703;9;21300;20479,275
20190703;10;21600;20906,250
20190703;11;21800;20999,238
20190703;12;22000;21286,588
20190703;13;22100;21378,000
20190703;14;22100;21328,050
20190703;15;21600;20893,513
20190703;16;21500;20828,238
20190703;17;21200;20554,125
20190703;18;20800;20251,650
20190703;19;20700;20032,413
20190703;20;20600;20267,438
20190703;21;20500;20260,138
20190703;22;20500;20018,625
20190703;23;19600;19105,700
20190703;24;18200;17740,050
20190704;1;16800;16475,513
20190704;2;16100;15912,913
20190704;3;15800;15644,425
20190704;4;15800;15541,263
20190704;5;15300;15048,088
20190704;6;16300;15365,838
20190704;7;19100;17650,575
20190704;8;20600;19556,563
20190704;9;21300;20478,350
20190704;10;21600;20859,438
20190704;11;21800;20941,963
20190704;12;22100;21294,350
20190704;13;22200;21310,550
20190704;14;22200;21215,413
20190704;15;21800;20976,700
