Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20200101;1;15000;14602,075
20200101;2;14400;14053,125
20200101;3;13800;13563,775
20200101;4;13400;13111,763
20200101;5;13200;12942,725
20200101;6;13100;12969,750
20200101;7;13300;13124,850
20200101;8;13100;13035,925
20200101;9;13300;12978,088
20200101;10;13900;13482,563
20200101;11;14500;14094,813
20200101;12;15000;14645,188
20200101;13;15400;15126,638
20200101;14;15700;15676,050
20200101;15;15700;15778,700
20200101;16;16400;15864,663
20200101;17;17500;17042,988
20200101;18;17600;17353,363
20200101;19;17700;17432,138
20200101;20;17700;17496,413
20200101;21;17400;17222,500
20200101;22;16600;16506,925
20200101;23;15900;15782,588
20200101;24;14800;14801,138
20200102;1;13875;13978,000
20200102;2;13447;13548,888
20200102;3;13247;13335,450
20200102;4;13325;13273,150
20200102;5;13727;13678,600
20200102;6;14804;14682,000
20200102;7;17128;17356,050
20200102;8;19225;19425,863
20200102;9;20399;20505,350
20200102;10;21202;21299,488
20200102;11;21460;21491,288
20200102;12;21723;21542,875
20200102;13;21860;21550,588
20200102;14;21939;21820,550
20200102;15;21658;21644,388
20200102;16;21822;21687,638
20200102;17;22663;22766,563
20200102;18;22633;22698,688
20200102;19;22355;22517,363
20200102;20;22203;22337,863
20200102;21;21600;21805,575
20200102;22;20297;20555,488
20200102;23;18843;19283,800
20200102;24;17260;18067,363
20200103;1;15919;16949,150
20200103;2;15268;16369,188
20200103;3;14990;16036,400
20200103;4;14987;15998,238
20200103;5;15199;16209,413
20200103;6;15959;17021,838
20200103;7;18155;19141,638
20200103;8;20048;20779,525
20200103;9;21041;21489,638
20200103;10;21596;21818,363
20200103;11;21653;21889,238
20200103;12;21723;22070,425
20200103;13;21764;22013,450
20200103;14;21816;22296,563
20200103;15;21381;22159,288
20200103;16;21483;22156,250
20200103;17;22500;23120,538
20200103;18;22508;23068,800
20200103;19;22167;22698,425
20200103;20;21935;22342,988
20200103;21;21219;21749,425
20200103;22;19924;20522,425
20200103;23;18508;19291,313
20200103;24;17063;18084,963
20200104;1;16896;17017,875
20200104;2;16356;16306,150
