Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20230704;12;21400;19973,875
20230704;13;21500;20009,850
20230704;14;21600;19901,300
20230704;15;21200;19812,188
20230704;16;21200;20055,488
20230704;17;21200;20165,400
20230704;18;21150;20243,725
20230704;19;20900;20359,088
20230704;20;20900;20701,188
20230704;21;20800;20608,138
20230704;22;20450;20000,000
20230704;23;19350;18792,638
20230704;24;17950;17354,150
20230705;1;16100;16088,688
20230705;2;15450;15509,200
20230705;3;14950;15095,263
20230705;4;14850;15010,188
20230705;5;14950;14904,188
20230705;6;16150;15286,375
20230705;7;18950;17421,338
20230705;8;20350;19231,688
20230705;9;21100;20203,200
20230705;10;21300;20434,550
20230705;11;21500;20132,688
20230705;12;21750;20300,225
20230705;13;21800;20375,400
20230705;14;22000;20817,763
20230705;15;21600;20696,600
20230705;16;21600;21003,875
20230705;17;21550;21084,500
20230705;18;21450;20893,275
20230705;19;21200;20856,925
20230705;20;21200;20992,425
20230705;21;21000;20757,225
20230705;22;20550;19742,738
20230705;23;19400;18486,225
20230705;24;18000;17171,100
20230706;1;15950;16031,138
20230706;2;15300;15324,038
20230706;3;14800;14980,425
20230706;4;14700;14820,425
20230706;5;14750;14794,238
20230706;6;15950;15179,263
20230706;7;18750;17500,063
20230706;8;20150;19507,038
20230706;9;20900;20600,600
20230706;10;20950;20793,463
20230706;11;20850;20913,938
20230706;12;21000;21160,375
20230706;13;21100;21083,438
20230706;14;21250;20756,200
20230706;15;20700;20254,150
20230706;16;20700;20535,925
20230706;17;20700;20525,025
20230706;18;20650;20291,275
20230706;19;20550;20532,113
20230706;20;20600;20849,425
20230706;21;20600;20914,850
20230706;22;20300;20049,875
20230706;23;19200;18839,538
20230706;24;17800;17417,313
20230707;1;16050;16134,838
20230707;2;15400;15429,075
20230707;3;14900;15081,175
20230707;4;14800;14980,375
20230707;5;14850;14868,613
20230707;6;16050;15624,038
20230707;7;18850;17953,625
20230707;8;20250;19975,338
20230707;9;21000;20719,850
20230707;10;21050;20702,925
20230707;11;21100;20370,000
20230707;12;21250;20624,138
20230707;13;21300;20694,875
20230707;14;21400;20592,038
20230707;15;21100;20032,875
20230707;16;21100;20236,963
20230707;17;21100;20484,013
20230707;18;21100;20420,063
20230707;19;20850;20349,113
20230707;20;20850;20458,000
20230707;21;20750;20347,388
20230707;22;20300;19739,350
20230707;23;19100;18693,538
20230707;24;17750;17271,413
20230708;1;16070;15965,600
20230708;2;15216;15140,963
20230708;3;14686;14709,388
20230708;4;14427;14441,350
20230708;5;14184;14176,388
20230708;6;14348;14059,275
20230708;7;15218;14922,025
20230708;8;16321;16171,638
20230708;9;17666;17497,250
20230708;10;18227;17980,850
20230708;11;18405;17970,275
20230708;12;18124;17771,663
20230708;13;17814;17709,300
20230708;14;17688;17480,788
20230708;15;17304;17106,000
20230708;16;17264;17081,050
20230708;17;17482;17038,438
20230708;18;17522;17336,150
20230708;19;17875;17492,613
20230708;20;17784;17591,388
20230708;21;17597;17407,350
20230708;22;17352;17086,638
20230708;23;16648;16407,725
20230708;24;15393;15119,663
20230709;1;14600;13934,038
20230709;2;13800;13336,600
20230709;3;13300;12893,700
20230709;4;13000;12668,538
20230709;5;12700;12368,613
20230709;6;12750;12226,950
20230709;7;13600;12766,413
20230709;8;14850;13707,425
20230709;9;15700;14692,688
20230709;10;16350;15326,088
20230709;11;16900;15327,625
20230709;12;17000;15171,525
20230709;13;17000;15184,275
20230709;14;17000;15315,425
20230709;15;17000;15178,563
20230709;16;17000;15366,538
20230709;17;17000;15406,625
20230709;18;17150;15864,850
20230709;19;17350;16164,125
20230709;20;17400;16516,138
20230709;21;17400;16693,125
20230709;22;17400;16764,350
20230709;23;17400;16318,238
20230709;24;16400;15165,025
20230710;1;14445;14098,563
20230710;2;13908;13432,125
20230710;3;13614;13268,775
20230710;4;13470;13170,138
20230710;5;13474;13195,975
20230710;6;14160;13910,625
20230710;7;17258;16713,563
20230710;8;19420;18983,138
20230710;9;20609;20250,925
20230710;10;21055;20698,875
20230710;11;21005;20553,313
20230710;12;21290;20802,925
20230710;13;21360;20995,125
20230710;14;21268;21149,138
20230710;15;21055;21269,763
20230710;16;21156;21285,000
20230710;17;21253;21225,500
20230710;18;21218;20973,650
20230710;19;21104;20970,063
20230710;20;21224;21050,513
20230710;21;21028;20993,575
20230710;22;20359;20380,150
20230710;23;19059;19009,175
20230710;24;17483;17235,125
20230711;1;16550;16276,463
20230711;2;15850;15648,275
20230711;3;15400;15060,900
20230711;4;15250;15045,863
20230711;5;15300;15016,475
20230711;6;16400;15485,213
20230711;7;19550;17795,450
20230711;8;21000;19680,725
20230711;9;21550;20530,363
20230711;10;21550;20542,425
20230711;11;21900;20541,088
20230711;12;22000;20537,350
20230711;13;22000;20758,475
20230711;14;22000;20765,475
20230711;15;21600;20441,313
20230711;16;21600;20637,925
20230711;17;21600;20655,138
20230711;18;21500;20931,825
20230711;19;21250;20832,913
20230711;20;21250;20966,725
20230711;21;21250;20986,325
20230711;22;20650;20437,188
20230711;23;19200;19141,713
20230711;24;17900;17661,925
20230712;1;16450;16226,250
20230712;2;15700;15470,500
20230712;3;15300;15116,638
20230712;4;15100;14885,413
20230712;5;15150;14832,788
20230712;6;16250;15333,263
20230712;7;19200;17614,863
20230712;8;20650;19611,175
20230712;9;21500;20635,025
20230712;10;21500;20929,325
20230712;11;21700;21401,200
20230712;12;22000;21692,738
20230712;13;22000;22011,975
20230712;14;22000;22288,688
20230712;15;21600;21962,600
20230712;16;21600;21952,700
20230712;17;21600;21459,213
20230712;18;21550;21160,538
20230712;19;21300;20912,400
20230712;20;21300;21137,288
20230712;21;21200;21088,850
20230712;22;20450;20568,813
20230712;23;19150;19253,900
20230712;24;17850;17753,188
20230713;1;16550;16544,788
20230713;2;15800;15841,688
20230713;3;15300;15456,050
20230713;4;15200;15420,075
20230713;5;15250;15317,225
20230713;6;16350;15751,538
20230713;7;19300;18121,200
20230713;8;20650;20064,150
20230713;9;21350;21231,475
20230713;10;21350;21473,063
20230713;11;21550;21354,625
20230713;12;21850;21974,125
20230713;13;21850;22532,713
20230713;14;21850;22332,225
20230713;15;21800;21643,375
20230713;16;21800;21235,100
20230713;17;21800;20861,838
20230713;18;21550;20484,138
20230713;19;21300;20211,213
20230713;20;21300;20527,163
20230713;21;21300;20385,413
20230713;22;20800;19972,550
20230713;23;19500;18662,388
20230713;24;17850;17250,638
20230714;1;16400;16060,900
20230714;2;15650;15462,400
20230714;3;15150;15079,538
20230714;4;15050;14963,413
20230714;5;15100;14735,788
20230714;6;16200;15083,063
20230714;7;19150;17282,350
20230714;8;20500;19266,225
20230714;9;21200;20191,038
20230714;10;21200;20348,100
20230714;11;21400;20200,400
20230714;12;21600;20003,225
20230714;13;21600;20032,263
20230714;14;21600;20243,663
20230714;15;21400;20184,188
20230714;16;21400;20390,100
20230714;17;21450;20494,613
20230714;18;21450;20447,738
20230714;19;21200;20351,225
20230714;20;21200;20481,150
20230714;21;21200;20293,763
20230714;22;20800;19819,475
20230714;23;19500;18710,088
20230714;24;17850;17310,750
20230715;1;16300;16040,788
20230715;2;15550;15264,288
20230715;3;15000;14590,300
20230715;4;14700;14509,425
20230715;5;14450;14180,063
20230715;6;14450;13937,963
20230715;7;15900;14730,675
20230715;8;17300;15931,725
20230715;9;18550;17225,250
20230715;10;18950;17782,788
20230715;11;19000;17806,538
20230715;12;19000;17714,675
20230715;13;19000;17557,063
20230715;14;19000;17473,738
20230715;15;18750;17185,000
20230715;16;18350;17372,975
20230715;17;18200;17625,738
20230715;18;18200;17817,625
20230715;19;18200;18057,675
20230715;20;18000;18125,013
20230715;21;17800;17991,463
20230715;22;17600;17661,975
20230715;23;17150;16956,538
20230715;24;16050;15670,588
20230716;1;14650;14456,800
20230716;2;13900;13641,050
20230716;3;13450;13240,250
20230716;4;13150;12948,975
20230716;5;12850;12745,400
20230716;6;12900;12430,350
20230716;7;13750;12931,863
20230716;8;15150;13871,425
20230716;9;16050;14841,075
20230716;10;16500;15403,300
20230716;11;16700;15514,550
20230716;12;16700;15916,300
20230716;13;16700;16300,150
20230716;14;16700;16199,838
20230716;15;16700;16139,750
20230716;16;16900;16159,125
20230716;17;17000;16447,488
20230716;18;17050;16532,450
20230716;19;17200;16835,613
20230716;20;17200;17138,313
20230716;21;17250;17143,088
20230716;22;17250;17295,775
20230716;23;17250;16831,488
20230716;24;16250;15647,488
20230717;1;14694;14602,788
20230717;2;13983;14184,000
20230717;3;13641;13999,438
20230717;4;13613;13921,338
20230717;5;13645;14011,750
20230717;6;14432;14541,588
20230717;7;17420;17099,663
20230717;8;19552;19498,538
20230717;9;20703;20924,800
20230717;10;21257;21435,688
20230717;11;21586;21184,025
20230717;12;21796;21327,375
20230717;13;21939;21367,488
20230717;14;22074;21946,913
20230717;15;21903;21700,500
20230717;16;21812;21463,550
20230717;17;21567;21261,525
20230717;18;21425;20714,838
20230717;19;21394;20612,213
20230717;20;21474;20936,863
20230717;21;21289;20901,488
20230717;22;20801;20348,650
20230717;23;19508;18865,775
20230717;24;17928;17391,650
20230718;1;16160;16050,713
20230718;2;15513;15462,963
20230718;3;14994;15164,550
20230718;4;15058;14904,388
20230718;5;14985;14840,575
20230718;6;15685;15066,763
20230718;7;17993;17231,188
20230718;8;19745;19144,350
20230718;9;20971;19961,025
20230718;10;20582;20141,063
20230718;11;20307;19739,250
20230718;12;20597;19760,038
20230718;13;20940;19804,588
20230718;14;21286;19847,738
20230718;15;21140;19525,038
20230718;16;20960;19711,900
20230718;17;21077;19858,975
20230718;18;20735;19952,088
20230718;19;20548;20115,375
20230718;20;20904;20295,313
20230718;21;20866;20428,788
20230718;22;20273;20111,538
20230718;23;19008;18877,275
20230718;24;17488;17387,588
20230719;1;16800;16191,613
20230719;2;16050;15528,975
20230719;3;15450;15060,725
20230719;4;15350;14978,700
20230719;5;15300;14916,263
20230719;6;16650;15236,400
20230719;7;19400;17362,263
20230719;8;21050;19120,075
20230719;9;21800;20194,238
20230719;10;21900;20465,400
20230719;11;21950;20408,625
20230719;12;22250;20696,263
20230719;13;22750;20892,463
20230719;14;22850;21042,138
20230719;15;22300;20835,675
20230719;16;22200;20588,525
20230719;17;21850;20809,963
20230719;18;21550;20692,150
20230719;19;21050;20424,800
20230719;20;21150;20595,500
20230719;21;21050;20644,050
20230719;22;20700;20226,300
20230719;23;19550;18908,875
20230719;24;18100;17392,438
20230720;1;16750;16214,725
20230720;2;15950;15533,225
20230720;3;15400;15169,963
20230720;4;15200;15070,988
20230720;5;15150;14954,738
20230720;6;16250;15403,525
20230720;7;19100;17664,850
20230720;8;20800;19380,450
20230720;9;21650;20286,950
20230720;10;21700;20413,900
20230720;11;21950;20411,313
20230720;12;22100;20662,738
20230720;13;22550;20536,650
20230720;14;22600;20116,200
20230720;15;22050;19684,275
20230720;16;21950;20178,675
20230720;17;21650;20076,938
20230720;18;21450;19867,300
20230720;19;21100;19946,513
20230720;20;21100;20128,950
20230720;21;21100;20179,875
20230720;22;20750;19767,963
20230720;23;19700;18417,550
20230720;24;18150;17060,100
20230721;1;16550;15796,863
20230721;2;15750;15118,838
20230721;3;15200;14782,850
20230721;4;15100;14714,938
20230721;5;15000;14748,275
20230721;6;16200;15012,000
20230721;7;18850;17119,563
20230721;8;20400;19023,325
20230721;9;21200;20060,775
20230721;10;21250;20163,013
20230721;11;21400;20022,875
20230721;12;21700;20364,700
20230721;13;22000;20456,188
20230721;14;22050;20171,338
20230721;15;21550;19986,138
20230721;16;21550;20136,150
20230721;17;21250;20070,325
20230721;18;20950;20092,800
20230721;19;20750;19988,125
20230721;20;20800;20002,288
20230721;21;20700;19958,413
20230721;22;20300;19339,650
20230721;23;19250;17998,863
20230721;24;17750;16730,038
20230722;1;16350;15675,775
20230722;2;15550;14935,988
20230722;3;14800;14449,613
20230722;4;14650;14306,200
20230722;5;14392;14014,475
20230722;6;14300;13781,063
20230722;7;15650;14488,788
20230722;8;17100;15544,150
20230722;9;18300;16551,988
20230722;10;18550;16930,525
20230722;11;18700;17172,713
20230722;12;18550;17226,213
20230722;13;18450;16687,250
20230722;14;18450;16969,988
20230722;15;17900;16586,500
20230722;16;17900;16585,375
20230722;17;17850;16438,875
20230722;18;17750;16626,800
20230722;19;17550;16735,838
20230722;20;17600;16815,638
20230722;21;17600;16876,075
20230722;22;17400;16921,863
20230722;23;16850;16079,650
20230722;24;15750;14824,613
20230723;1;14350;13636,775
20230723;2;13600;12979,363
20230723;3;13150;12584,813
20230723;4;12900;12486,913
20230723;5;12650;12079,388
20230723;6;12450;11793,950
20230723;7;13300;12223,975
20230723;8;14300;12960,463
20230723;9;15250;13922,300
20230723;10;15950;14951,600
20230723;11;16000;15140,425
20230723;12;16150;15164,800
20230723;13;16400;15299,950
20230723;14;16350;15396,288
20230723;15;16100;15280,313
20230723;16;15750;15259,488
20230723;17;15700;15224,675
20230723;18;15950;15511,013
20230723;19;16250;16092,438
20230723;20;16450;16275,475
20230723;21;16600;16521,413
20230723;22;16800;16737,713
20230723;23;16600;15903,913
20230723;24;15400;14834,650
20230724;1;14300;13873,588
20230724;2;13700;13279,638
20230724;3;13450;13083,313
20230724;4;13400;13014,888
20230724;5;13550;13140,925
20230724;6;15350;13639,550
20230724;7;18550;16083,800
20230724;8;20350;18093,638
20230724;9;21250;19400,250
20230724;10;21450;19980,600
20230724;11;21700;19863,513
20230724;12;21900;19976,775
20230724;13;22200;20356,050
20230724;14;22400;20354,375
20230724;15;21950;20120,775
20230724;16;21650;20384,788
20230724;17;21500;20566,650
20230724;18;21200;20617,275
20230724;19;21000;20408,900
20230724;20;21050;20545,463
20230724;21;21100;20282,313
20230724;22;20850;19729,763
20230724;23;19600;18284,200
20230724;24;17950;16882,725
20230725;1;16261;15723,725
20230725;2;15433;15149,038
20230725;3;14956;14643,225
20230725;4;14936;14496,025
20230725;5;14879;14445,800
20230725;6;15883;14777,588
20230725;7;18507;16799,450
20230725;8;20085;18610,625
20230725;9;20537;19777,813
20230725;10;20589;19882,175
20230725;11;20571;19552,650
20230725;12;20654;20275,963
20230725;13;20862;20691,025
20230725;14;20968;20977,875
20230725;15;20526;20716,000
20230725;16;20548;20647,300
20230725;17;20589;20515,388
20230725;18;20524;20345,550
20230725;19;20461;20115,838
20230725;20;20715;20009,313
20230725;21;20755;19894,275
20230725;22;20600;19398,350
20230725;23;19245;17976,900
20230725;24;17741;16518,088
20230726;1;16324;15441,413
20230726;2;15567;14760,088
20230726;3;15058;14404,750
20230726;4;14899;14522,563
20230726;5;14789;14469,775
20230726;6;15927;14709,888
20230726;7;18541;16963,913
20230726;8;20150;18754,025
20230726;9;20798;19757,413
20230726;10;20760;20085,925
20230726;11;20965;20177,325
20230726;12;21118;20606,825
20230726;13;21149;20743,100
20230726;14;21269;20634,138
20230726;15;20860;20363,800
20230726;16;20817;20170,550
20230726;17;20694;19837,938
20230726;18;20522;19534,663
20230726;19;20413;19316,038
20230726;20;20651;19453,825
20230726;21;20787;19392,400
20230726;22;20732;18987,188
20230726;23;19217;17513,550
20230726;24;17699;16075,000
20230727;1;16239;14929,700
20230727;2;15484;14358,263
20230727;3;14932;14046,213
20230727;4;14783;14058,813
20230727;5;14788;14024,500
20230727;6;15842;14391,275
20230727;7;18357;16406,338
20230727;8;19738;18216,363
20230727;9;20569;19119,525
20230727;10;20426;19318,788
20230727;11;20451;18895,863
20230727;12;20570;19052,150
20230727;13;20681;19336,688
20230727;14;20863;19167,588
20230727;15;20428;19134,363
20230727;16;20411;19408,675
20230727;17;20447;19398,125
20230727;18;20458;19059,950
20230727;19;20377;19090,600
20230727;20;20547;19454,013
20230727;21;20575;19561,388
20230727;22;20457;19174,988
20230727;23;19090;17673,575
20230727;24;17569;16308,975
20230728;1;15747;15288,263
20230728;2;14930;14598,175
20230728;3;14570;14358,375
20230728;4;14565;14188,625
20230728;5;14513;14313,313
20230728;6;15559;14718,475
20230728;7;18182;16894,063
20230728;8;19626;18450,238
20230728;9;20312;19490,388
20230728;10;20342;20220,150
20230728;11;20470;20167,938
20230728;12;20562;20490,388
20230728;13;20743;20223,313
20230728;14;20804;19772,088
20230728;15;20295;19455,925
20230728;16;20191;19358,638
20230728;17;20231;19240,450
20230728;18;20099;19451,763
20230728;19;20086;19309,500
20230728;20;20105;19402,225
20230728;21;20099;19473,138
20230728;22;20000;19073,438
20230728;23;18600;17748,538
20230728;24;17199;16375,263
20230729;1;15553;15356,838
20230729;2;14759;14713,263
20230729;3;14219;14334,188
20230729;4;14080;14147,313
20230729;5;13942;13908,150
20230729;6;13794;13650,238
20230729;7;14903;14411,225
20230729;8;16180;15583,000
20230729;9;17074;16742,575
20230729;10;17204;17352,113
20230729;11;17387;17333,463
20230729;12;17386;17483,638
20230729;13;17065;17413,950
20230729;14;17139;17224,575
20230729;15;16796;17070,100
20230729;16;16793;17057,825
20230729;17;16717;16991,525
20230729;18;16756;17237,900
20230729;19;16724;17358,500
20230729;20;16801;17345,438
20230729;21;17111;17301,475
20230729;22;17134;17123,525
20230729;23;16365;16168,650
20230729;24;15140;14727,875
20230730;1;13787;13695,175
20230730;2;13029;13078,788
20230730;3;12573;12737,325
20230730;4;12477;12622,550
20230730;5;12235;12450,775
20230730;6;11887;12061,250
20230730;7;12707;12503,175
20230730;8;13647;13247,638
20230730;9;14507;13976,638
20230730;10;15016;14596,563
20230730;11;15011;14990,175
20230730;12;15122;15215,388
20230730;13;15236;15351,113
20230730;14;15277;15517,000
20230730;15;15074;15176,475
20230730;16;14991;15116,875
20230730;17;14971;15337,313
20230730;18;15336;15399,025
20230730;19;15802;15722,650
20230730;20;16169;16094,275
20230730;21;16644;16384,563
20230730;22;16787;16309,100
20230730;23;16132;15564,750
20230730;24;15169;14377,475
20230731;1;13779;13490,238
20230731;2;13172;12936,238
20230731;3;12919;12763,413
20230731;4;12865;12847,813
20230731;5;12919;13039,363
20230731;6;14473;13394,488
20230731;7;17141;15792,700
20230731;8;18840;17934,038
20230731;9;19561;18761,550
20230731;10;19651;19036,763
20230731;11;19554;18932,800
20230731;12;19564;18989,338
20230731;13;19722;19192,925
20230731;14;19858;19271,825
20230731;15;19518;19026,613
20230731;16;19614;19378,025
20230731;17;19466;19056,438
20230731;18;19205;19139,463
20230731;19;19196;18980,238
20230731;20;19449;19171,813
20230731;21;19730;19391,263
20230731;22;19665;18845,813
20230731;23;18248;17370,513
20230731;24;16778;16071,963
20230801;1;15302;14989,975
20230801;2;14543;14442,375
20230801;3;14090;14191,800
20230801;4;14039;14101,650
20230801;5;14045;14170,038
20230801;6;14898;14510,813
20230801;7;17610;16407,850
20230801;8;18979;18149,963
20230801;9;19854;19223,988
20230801;10;19971;19728,400
20230801;11;20036;19829,038
20230801;12;20227;20200,013
20230801;13;20349;20411,738
20230801;14;20483;20460,888
20230801;15;20020;19920,263
20230801;16;19939;19800,450
20230801;17;19705;19883,163
20230801;18;19521;19724,538
20230801;19;19535;19500,700
20230801;20;19721;19595,950
20230801;21;19873;19553,575
20230801;22;19653;18842,025
20230801;23;18249;17410,675
20230801;24;16742;16056,263
20230802;1;15348;14956,975
20230802;2;14602;14299,925
20230802;3;14208;13912,763
20230802;4;14270;13907,138
20230802;5;14282;14010,100
20230802;6;15034;14288,513
20230802;7;17698;16221,238
20230802;8;19222;17987,863
20230802;9;19789;18981,863
20230802;10;19801;19092,275
20230802;11;19876;18894,625
20230802;12;19993;18903,338
20230802;13;20044;18747,925
20230802;14;20166;18928,413
20230802;15;19713;18875,113
20230802;16;19669;18818,088
20230802;17;19672;19096,175
20230802;18;19517;19132,338
20230802;19;19537;19010,263
20230802;20;19720;19372,825
20230802;21;20057;19494,250
20230802;22;19802;18858,363
20230802;23;18167;17429,813
20230802;24;16624;15935,525
20230803;1;15115;14886,800
20230803;2;14292;14295,450
20230803;3;13677;13951,188
20230803;4;13678;14057,975
20230803;5;13680;14134,263
20230803;6;14926;14453,650
20230803;7;17350;16569,213
20230803;8;18859;18490,600
20230803;9;19718;19473,938
20230803;10;19743;20068,950
20230803;11;20189;20111,063
20230803;12;20164;20333,475
20230803;13;20114;20527,400
20230803;14;20097;20502,500
20230803;15;19711;19904,075
20230803;16;19718;19861,888
20230803;17;19680;19556,088
20230803;18;19573;19232,250
20230803;19;19438;18935,825
20230803;20;19572;19146,963
20230803;21;19609;19425,525
20230803;22;19297;19040,363
20230803;23;17746;17586,113
20230803;24;16432;16198,250
20230804;1;15088;15104,088
20230804;2;14347;14448,063
20230804;3;13819;14085,088
20230804;4;13846;14010,725
20230804;5;13872;14111,775
20230804;6;14943;14427,313
20230804;7;17376;16373,788
20230804;8;18811;18264,663
20230804;9;19426;19365,325
20230804;10;19462;19411,688
20230804;11;19846;19134,638
20230804;12;20043;19414,488
20230804;13;20131;19442,300
20230804;14;20176;19553,725
20230804;15;19942;19368,313
20230804;16;20054;19682,825
20230804;17;20092;19695,863
20230804;18;20140;19650,938
20230804;19;19929;19584,375
20230804;20;20035;19814,575
20230804;21;20066;19925,463
20230804;22;19718;19376,288
20230804;23;18218;17997,450
20230804;24;16867;16609,625
20230805;1;15607;15417,788
20230805;2;14906;14701,075
20230805;3;14451;14380,575
20230805;4;14294;14146,838
20230805;5;14186;13920,700
20230805;6;14178;13721,638
20230805;7;15495;14572,800
20230805;8;16843;15603,075
20230805;9;18048;16803,688
20230805;10;18601;17737,913
20230805;11;18951;18328,225
20230805;12;19017;18347,638
20230805;13;18968;18210,138
20230805;14;18842;18035,675
20230805;15;18401;17900,938
20230805;16;18019;17880,938
20230805;17;17959;17580,513
20230805;18;17859;17362,788
20230805;19;17906;17371,413
20230805;20;18088;17369,825
20230805;21;18294;17354,313
20230805;22;18194;16839,875
20230805;23;16653;15685,125
20230805;24;15408;14412,800
20230806;1;14041;13263,875
20230806;2;13339;12818,913
20230806;3;12785;12571,613
20230806;4;12676;12463,463
20230806;5;12509;12347,500
20230806;6;12385;11969,863
20230806;7;13146;12503,638
20230806;8;14109;13292,813
20230806;9;15068;14355,675
20230806;10;15663;15210,775
20230806;11;15954;15668,788
20230806;12;16068;15955,938
20230806;13;16069;16111,563
20230806;14;16095;15943,300
20230806;15;15903;15875,863
20230806;16;15975;15331,338
20230806;17;16067;15224,038
20230806;18;16161;15414,863
20230806;19;16299;15527,925
20230806;20;16595;15783,113
20230806;21;16951;16033,363
20230806;22;16892;15845,700
20230806;23;15892;15048,813
20230806;24;14777;14008,513
20230807;1;13440;13089,988
20230807;2;12729;12657,525
20230807;3;12470;12496,388
20230807;4;12514;12449,463
20230807;5;12855;12671,113
20230807;6;14794;13133,700
20230807;7;17362;15585,100
20230807;8;19091;17595,150
20230807;9;19697;18777,200
20230807;10;20001;19170,900
20230807;11;20271;19151,450
20230807;12;20395;19283,513
20230807;13;20564;19471,863
20230807;14;20640;19493,913
20230807;15;19989;19406,838
20230807;16;19874;18940,300
20230807;17;19583;18865,738
20230807;18;19264;19006,013
20230807;19;19129;19177,075
20230807;20;19210;19411,113
20230807;21;19360;19648,888
20230807;22;19094;18876,450
20230807;23;17479;17370,613
20230807;24;16120;15858,175
20230808;1;14608;14781,125
20230808;2;13901;14262,863
20230808;3;13501;13866,500
20230808;4;13503;13943,038
20230808;5;13508;14040,863
20230808;6;14661;14300,100
20230808;7;16981;16358,625
20230808;8;18369;17967,250
20230808;9;18903;18805,125
20230808;10;18939;18953,038
20230808;11;18989;18853,988
20230808;12;18939;19124,425
20230808;13;18913;19176,275
20230808;14;18953;19038,763
20230808;15;18834;18573,113
20230808;16;18962;19013,500
20230808;17;19042;19144,863
20230808;18;19024;19098,863
20230808;19;19097;19090,925
20230808;20;19478;19490,475
20230808;21;19520;19764,025
20230808;22;19267;19143,175
20230808;23;17661;17642,925
20230808;24;16409;16203,413
20230809;1;14985;15052,525
20230809;2;14298;14638,625
20230809;3;13968;14251,725
20230809;4;13994;14148,788
20230809;5;14021;14319,375
20230809;6;14888;14682,775
20230809;7;17214;16791,663
20230809;8;18614;18574,288
20230809;9;19180;19359,988
20230809;10;19254;19559,188
20230809;11;19214;19576,000
20230809;12;19128;20058,563
20230809;13;19118;20443,150
20230809;14;19197;20203,288
20230809;15;19029;19839,600
20230809;16;19139;19773,988
20230809;17;19226;19763,563
20230809;18;19271;19523,413
20230809;19;19464;19460,325
20230809;20;20013;19785,450
20230809;21;20035;20133,725
20230809;22;19675;19466,100
20230809;23;18111;17795,150
20230809;24;16651;16513,225
20230810;1;15304;15456,988
20230810;2;14596;14808,013
20230810;3;14243;14505,150
20230810;4;14240;14362,525
20230810;5;14337;14622,275
20230810;6;15335;14784,488
20230810;7;17651;16813,763
20230810;8;19136;18605,588
20230810;9;19739;19493,000
20230810;10;19559;19585,313
20230810;11;19421;19072,163
20230810;12;19388;19318,813
20230810;13;19554;19640,838
20230810;14;19630;19465,013
20230810;15;19295;19271,100
20230810;16;19339;19166,563
20230810;17;19396;19258,913
20230810;18;19518;19464,050
20230810;19;19732;19486,188
20230810;20;20191;19924,138
20230810;21;20216;20304,600
20230810;22;19866;19681,950
20230810;23;18314;18026,800
20230810;24;16858;16679,513
20230811;1;15411;15522,450
20230811;2;14756;14908,175
20230811;3;14400;14521,913
20230811;4;14396;14524,488
20230811;5;14543;14608,738
20230811;6;15542;14886,238
20230811;7;17956;16905,963
20230811;8;19213;18625,625
20230811;9;19792;19449,175
20230811;10;19670;19543,413
20230811;11;19503;18834,975
