Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20180801;1;17400;17214,100
20180801;2;16600;16615,075
20180801;3;16200;16226,725
20180801;4;16200;16063,850
20180801;5;15900;15980,213
20180801;6;16850;15881,175
20180801;7;19700;18035,863
20180801;8;21550;20215,200
20180801;9;22550;21724,925
20180801;10;22850;22401,688
20180801;11;23250;22614,550
20180801;12;23400;23076,525
20180801;13;23600;23215,275
20180801;14;23650;23209,838
20180801;15;23200;22683,250
20180801;16;22750;22473,488
20180801;17;22300;22141,475
20180801;18;21950;21646,088
20180801;19;21500;21371,750
20180801;20;21600;21278,475
20180801;21;21850;21408,888
20180801;22;21700;21457,663
20180801;23;20200;20022,563
20180801;24;18500;18608,388
20180802;1;17350;17333,300
20180802;2;16550;16600,850
20180802;3;16250;16255,750
20180802;4;16150;16198,900
20180802;5;15900;16164,550
20180802;6;16850;16264,200
20180802;7;19700;18492,275
20180802;8;21500;20571,950
20180802;9;22550;22048,075
20180802;10;22850;22793,900
20180802;11;23200;22978,988
20180802;12;23300;23442,563
20180802;13;23450;23538,600
20180802;14;23550;23324,513
20180802;15;22950;22970,025
20180802;16;22500;22727,700
20180802;17;22200;22263,775
20180802;18;21800;21790,025
20180802;19;21200;21471,225
20180802;20;21300;21483,063
20180802;21;21850;21534,900
20180802;22;21600;21534,525
20180802;23;20200;20192,900
20180802;24;18700;18647,788
20180803;1;17200;17316,500
20180803;2;16600;16743,963
20180803;3;16150;16225,275
20180803;4;16100;16133,938
20180803;5;15900;16194,625
20180803;6;16650;16218,700
20180803;7;19500;18291,000
20180803;8;21300;20509,238
20180803;9;22400;21953,450
20180803;10;22650;22710,288
20180803;11;23050;22881,625
20180803;12;23250;23259,125
20180803;13;23350;23269,900
20180803;14;23350;23232,988
20180803;15;22900;22690,213
20180803;16;22450;22385,050
20180803;17;22000;21915,088
20180803;18;21600;21457,175
20180803;19;21200;21085,763
20180803;20;21000;21100,638
20180803;21;21400;21183,150
20180803;22;21200;21108,538
20180803;23;20000;19709,738
20180803;24;18500;18305,238
20180804;1;17100;16950,988
20180804;2;16200;16326,050
20180804;3;15800;15900,100
20180804;4;15700;15714,150
20180804;5;15200;15466,388
20180804;6;15200;15010,588
20180804;7;16900;15967,663
20180804;8;18500;17304,325
20180804;9;19600;18696,863
20180804;10;20200;19682,625
20180804;11;20600;20132,100
20180804;12;20600;20305,225
20180804;13;20400;20162,813
20180804;14;20100;19838,025
20180804;15;19500;19319,225
20180804;16;19200;19076,625
20180804;17;19000;18809,563
20180804;18;18800;18634,750
20180804;19;18600;18536,588
20180804;20;18500;18439,938
20180804;21;19200;18547,600
20180804;22;18900;18612,000
20180804;23;17800;17550,763
20180804;24;16500;16351,038
20180805;1;15300;15270,013
20180805;2;14700;14580,988
20180805;3;14300;14242,588
20180805;4;14100;14092,875
20180805;5;13700;13809,338
20180805;6;13300;13212,325
20180805;7;14300;13576,000
20180805;8;15300;14469,113
20180805;9;16400;15460,400
20180805;10;17300;16527,150
20180805;11;17800;17216,688
20180805;12;17900;17279,600
20180805;13;17800;17393,625
20180805;14;17800;17354,450
20180805;15;17400;17077,538
20180805;16;17000;16730,138
20180805;17;16700;16534,438
20180805;18;16750;16722,288
20180805;19;17000;16787,413
20180805;20;17250;16904,400
20180805;21;17750;17266,500
20180805;22;17950;17736,913
20180805;23;17100;16792,475
20180805;24;15900;15699,488
20180806;1;14850;14675,725
20180806;2;14300;14231,113
20180806;3;14000;13980,113
20180806;4;14000;13908,700
20180806;5;13850;13946,325
20180806;6;15350;14165,638
20180806;7;18700;16775,988
20180806;8;20600;19004,525
20180806;9;21700;20409,700
20180806;10;22050;21044,788
20180806;11;22550;21172,163
20180806;12;22750;21631,350
20180806;13;22900;21664,563
20180806;14;22900;21728,138
20180806;15;22400;21473,125
20180806;16;21950;21241,338
20180806;17;21650;20864,900
20180806;18;21250;20601,625
20180806;19;20900;20304,125
20180806;20;21050;20412,163
20180806;21;21750;20678,988
20180806;22;21400;20676,838
20180806;23;19900;18998,175
20180806;24;18200;17542,638
20180807;1;17100;16396,775
20180807;2;16450;15814,350
20180807;3;16050;15493,488
20180807;4;15950;15399,800
20180807;5;15900;15428,200
20180807;6;16500;15452,888
20180807;7;19200;17532,625
20180807;8;21100;19619,475
20180807;9;22100;21128,050
20180807;10;22500;21853,238
20180807;11;23000;22047,775
20180807;12;23100;22380,350
20180807;13;23250;22560,963
20180807;14;23250;22621,625
20180807;15;22800;22086,150
20180807;16;22450;21797,100
20180807;17;21950;21436,538
20180807;18;21600;21154,025
20180807;19;21300;20975,250
20180807;20;21300;20836,525
20180807;21;22100;21060,338
20180807;22;21650;20977,913
20180807;23;20000;19428,438
20180807;24;18400;17975,388
20180808;1;17100;16772,013
20180808;2;16500;16139,263
20180808;3;16100;15750,425
20180808;4;16000;15772,425
20180808;5;15950;15757,325
20180808;6;16550;15700,588
20180808;7;19300;17827,150
20180808;8;21200;20097,313
20180808;9;22250;21333,750
20180808;10;22650;22044,013
20180808;11;23150;22318,100
20180808;12;23300;22772,563
20180808;13;23400;22905,513
20180808;14;23400;22839,125
20180808;15;22850;22518,813
20180808;16;22500;22373,088
20180808;17;22000;21886,963
20180808;18;21650;21502,075
20180808;19;21350;21234,825
20180808;20;21350;21292,113
20180808;21;22150;21510,325
20180808;22;21700;21344,763
20180808;23;20050;19714,125
20180808;24;18450;18324,725
20180809;1;17150;17104,500
20180809;2;16450;16438,300
20180809;3;16050;16097,288
20180809;4;15950;16047,813
20180809;5;15950;16143,288
20180809;6;16700;16028,263
20180809;7;19550;18065,475
20180809;8;21350;20378,575
20180809;9;22450;21783,288
20180809;10;22750;22439,638
20180809;11;23250;22648,138
20180809;12;23450;23112,375
20180809;13;23600;23430,138
20180809;14;23550;23381,450
20180809;15;23050;22954,563
20180809;16;22650;22746,700
20180809;17;22200;22149,488
20180809;18;21700;21773,500
20180809;19;21400;21356,938
20180809;20;21400;21481,863
20180809;21;22300;21881,988
20180809;22;21700;21466,038
20180809;23;20200;19818,713
20180809;24;18600;18527,925
20180810;1;17100;17416,613
20180810;2;16450;16663,213
20180810;3;16050;16482,250
20180810;4;15950;16429,913
20180810;5;16000;16468,913
20180810;6;16600;16443,825
20180810;7;19350;18394,475
20180810;8;21250;20417,138
20180810;9;22350;21743,375
20180810;10;22650;22402,525
20180810;11;23050;22471,213
20180810;12;23250;22871,600
20180810;13;23350;22966,300
20180810;14;23350;22831,688
20180810;15;22850;22292,950
20180810;16;22350;21979,425
20180810;17;21950;21418,875
20180810;18;21450;20960,950
20180810;19;21150;20832,150
20180810;20;20950;20860,600
20180810;21;21600;21085,225
20180810;22;21050;20559,700
20180810;23;19600;19047,200
20180810;24;18100;17806,475
20180811;1;16600;16684,613
20180811;2;15750;16077,725
20180811;3;15250;15633,538
20180811;4;15150;15497,825
20180811;5;14950;15466,688
20180811;6;14650;15003,813
20180811;7;16250;15798,538
20180811;8;17650;16945,050
20180811;9;18750;18359,013
20180811;10;19350;19288,263
20180811;11;19750;19647,338
20180811;12;19750;19788,163
20180811;13;19550;19664,838
20180811;14;19250;19270,200
20180811;15;18550;18562,025
20180811;16;18250;18281,813
20180811;17;17950;18137,075
20180811;18;17650;17768,325
20180811;19;17500;17767,713
20180811;20;17800;17683,238
20180811;21;18550;18056,763
20180811;22;18200;18017,150
20180811;23;17200;16781,538
20180811;24;15900;15616,325
20180812;1;15000;14677,750
20180812;2;14500;13964,963
20180812;3;14100;13604,813
20180812;4;13950;13405,138
20180812;5;13800;13189,413
20180812;6;13000;12725,250
20180812;7;13900;12981,550
20180812;8;14800;13871,413
20180812;9;15900;14845,375
20180812;10;16800;15624,700
20180812;11;17200;16050,425
20180812;12;17300;16248,938
20180812;13;17400;16293,538
20180812;14;17300;16124,450
20180812;15;16900;15914,713
20180812;16;16600;15615,800
20180812;17;16400;15526,938
20180812;18;16400;15627,050
20180812;19;16600;15854,888
20180812;20;16900;16122,200
20180812;21;17800;16936,450
20180812;22;17700;17105,738
20180812;23;16700;16168,038
20180812;24;15500;15240,463
20180813;1;14500;14346,275
20180813;2;14100;13875,263
20180813;3;13900;13732,925
20180813;4;13800;13772,925
20180813;5;13850;13921,150
20180813;6;15050;14180,963
20180813;7;18300;16670,788
20180813;8;20200;19020,163
20180813;9;21350;20415,488
20180813;10;21900;21123,450
20180813;11;22350;21366,613
20180813;12;22800;21932,450
20180813;13;23000;22112,863
20180813;14;23000;22177,800
20180813;15;22500;21825,063
20180813;16;22250;21595,350
20180813;17;21850;21181,775
20180813;18;21400;20801,600
20180813;19;21100;20624,538
20180813;20;21150;20616,900
20180813;21;21850;21230,625
20180813;22;21350;20645,300
20180813;23;19750;18966,788
20180813;24;18150;17696,625
20180814;1;17000;16573,050
20180814;2;16400;16035,075
20180814;3;15900;15685,825
20180814;4;15900;15590,500
20180814;5;15900;15631,725
20180814;6;16400;15657,163
20180814;7;19250;17656,775
20180814;8;20950;19773,775
20180814;9;21850;21013,200
20180814;10;22250;21587,263
20180814;11;22750;21693,238
20180814;12;22900;21989,775
20180814;13;23000;22139,938
20180814;14;23000;22109,363
20180814;15;22650;21540,000
20180814;16;22250;21336,763
20180814;17;21750;20957,363
20180814;18;21350;20630,513
20180814;19;21100;20290,275
20180814;20;21150;20304,588
20180814;21;21700;20904,788
20180814;22;21100;20335,800
20180814;23;19400;18755,088
20180814;24;17900;17398,663
20180815;1;15900;16246,425
20180815;2;15100;15493,625
20180815;3;14500;15019,325
20180815;4;14300;14842,450
20180815;5;14150;14599,538
20180815;6;13300;13783,788
20180815;7;13850;13555,650
20180815;8;14700;14331,400
20180815;9;15700;15334,113
20180815;10;16300;16229,563
20180815;11;16600;16639,675
20180815;12;16700;16792,775
20180815;13;16700;16882,063
20180815;14;16700;16847,750
20180815;15;16300;16527,500
20180815;16;15850;16128,300
20180815;17;15750;15929,513
20180815;18;15800;15832,488
20180815;19;16000;15960,338
20180815;20;16400;16232,800
20180815;21;17400;17107,563
20180815;22;17200;17275,163
20180815;23;16200;16494,800
20180815;24;15200;15486,800
20180816;1;14300;14563,038
20180816;2;13900;14070,225
20180816;3;13700;13870,463
20180816;4;13800;13920,100
20180816;5;13950;13974,188
20180816;6;14950;14208,563
20180816;7;18200;16597,975
20180816;8;20000;18771,363
20180816;9;21000;20266,388
20180816;10;21400;21055,525
20180816;11;21950;21184,363
20180816;12;22150;21584,888
20180816;13;22300;21700,175
20180816;14;22400;21799,100
20180816;15;21900;21517,513
20180816;16;21550;21258,850
20180816;17;21150;20879,825
20180816;18;20750;20515,338
20180816;19;20550;20227,388
20180816;20;20850;20344,738
20180816;21;21750;20992,675
20180816;22;20900;20370,075
20180816;23;19050;18734,450
20180816;24;17650;17415,250
20180817;1;16500;16403,888
20180817;2;15900;15636,150
20180817;3;15600;15260,575
20180817;4;15500;15208,888
20180817;5;15600;15428,263
20180817;6;16200;15473,138
20180817;7;18800;17389,938
20180817;8;20600;19454,288
20180817;9;21600;20717,713
20180817;10;22000;21399,275
20180817;11;22350;21539,513
20180817;12;22550;22015,488
20180817;13;22750;22146,075
20180817;14;22650;22172,213
20180817;15;22150;21785,613
20180817;16;21800;21684,575
20180817;17;21300;21308,288
20180817;18;20900;20956,850
20180817;19;20600;20569,988
20180817;20;20900;20510,175
20180817;21;21700;21246,000
20180817;22;21000;20584,475
20180817;23;19400;18891,663
20180817;24;17900;17623,400
20180818;1;16800;16493,875
20180818;2;16200;15852,963
20180818;3;15700;15488,725
20180818;4;15600;15331,600
20180818;5;15500;15322,213
20180818;6;14800;14977,525
20180818;7;16500;15846,513
20180818;8;17800;17156,625
20180818;9;19000;18491,550
20180818;10;19600;19506,250
20180818;11;20000;19885,463
20180818;12;20100;20102,425
20180818;13;19900;19968,863
20180818;14;19600;19667,313
20180818;15;18800;19079,663
20180818;16;18300;18853,263
20180818;17;18000;18539,425
20180818;18;17800;18249,200
20180818;19;17700;18142,038
20180818;20;18100;18166,188
20180818;21;18800;18811,975
20180818;22;18300;18453,763
20180818;23;16950;17140,850
20180818;24;15750;15958,338
20180819;1;15050;14897,088
20180819;2;14450;14211,413
20180819;3;13950;13852,425
20180819;4;13750;13702,500
20180819;5;13650;13625,725
20180819;6;13000;12997,375
20180819;7;13900;13233,363
20180819;8;14900;14100,950
20180819;9;15900;15171,375
20180819;10;16700;16067,863
20180819;11;17050;16526,388
20180819;12;17150;16823,988
20180819;13;17100;16850,863
20180819;14;17000;16746,388
20180819;15;16700;16500,313
20180819;16;16300;16257,975
20180819;17;16100;16101,875
20180819;18;16200;16218,838
20180819;19;16400;16335,538
20180819;20;16800;16739,613
20180819;21;17600;17764,650
20180819;22;17500;17681,300
20180819;23;16600;16720,500
20180819;24;15500;15777,825
20180820;1;14500;14974,750
20180820;2;14100;14389,438
20180820;3;13800;14115,225
20180820;4;13800;14140,213
20180820;5;14000;14439,325
20180820;6;15300;14770,138
20180820;7;18300;17191,238
20180820;8;20200;19596,600
20180820;9;21200;21163,275
20180820;10;21500;21858,813
20180820;11;22000;22132,500
20180820;12;22200;22655,638
20180820;13;22300;22826,025
20180820;14;22400;22864,700
20180820;15;22000;22461,888
20180820;16;21700;22207,100
20180820;17;21300;21711,425
20180820;18;20900;21243,013
20180820;19;20800;20858,225
20180820;20;21000;21119,675
20180820;21;21600;22232,350
20180820;22;21000;21292,438
20180820;23;19300;19454,663
20180820;24;17700;18045,550
20180821;1;16500;17091,138
20180821;2;16000;16414,575
20180821;3;15600;16067,163
20180821;4;15600;16123,113
20180821;5;15700;16296,350
20180821;6;16100;16329,788
20180821;7;19000;18343,063
20180821;8;20600;20333,750
20180821;9;21600;21452,763
20180821;10;21900;21975,775
20180821;11;22500;22041,663
20180821;12;22550;22383,563
20180821;13;22900;22570,513
20180821;14;22900;22466,638
20180821;15;22300;21992,513
20180821;16;22000;21822,675
20180821;17;21700;21542,675
20180821;18;21300;21150,450
20180821;19;21100;20897,113
20180821;20;21400;21158,275
20180821;21;21900;22104,063
20180821;22;21500;20994,563
20180821;23;19700;19249,163
20180821;24;18300;17878,100
20180822;1;16800;16916,975
20180822;2;16200;16198,488
20180822;3;15700;15952,525
20180822;4;15800;15908,613
20180822;5;16000;16086,513
20180822;6;16300;16125,125
20180822;7;19100;17986,225
20180822;8;20800;20120,013
20180822;9;21900;21344,175
20180822;10;22200;21856,038
20180822;11;22700;21937,550
20180822;12;22900;22360,875
20180822;13;23050;22549,888
20180822;14;23000;22530,988
20180822;15;22450;22167,850
20180822;16;22000;22067,113
20180822;17;21650;21767,713
20180822;18;21200;21430,163
20180822;19;21050;20988,075
20180822;20;21850;21147,188
20180822;21;22500;22058,163
20180822;22;21300;21190,775
20180822;23;19450;19400,050
20180822;24;18050;17997,700
20180823;1;17050;16866,813
20180823;2;16350;16241,188
20180823;3;15900;15942,725
20180823;4;16000;15962,650
20180823;5;16200;15975,088
20180823;6;16700;16159,488
20180823;7;19400;17963,738
20180823;8;21000;20244,300
20180823;9;22050;21428,638
20180823;10;22350;22153,688
20180823;11;22850;22345,150
20180823;12;23050;22776,450
20180823;13;23250;23004,500
20180823;14;23250;22983,200
20180823;15;22750;22734,763
